Symbol,Strategy,Window,BestParams,Trades,WinRate%,TotalReturn%,ProfitFactor,Sharpe,MaxDD%,Score
ICPUSDT,TripleEMA-MTF,W03,"EMA(13/34/55) ATR×2.5",12,25.00,-8.06,0.26,-2.38,8.77,6.79
ICPUSDT,TripleEMA-MTF,W04,"EMA(13/34/89) ATR×1.5",8,25.00,-1.26,0.81,-0.23,5.01,18.00
ICPUSDT,TripleEMA-MTF,W05,"EMA(13/34/55) ATR×3.0",6,16.67,-0.10,0.98,-0.02,3.46,18.46
ICPUSDT,TripleEMA-MTF,W06,"EMA(9/21/89) ATR×1.5",28,28.57,-8.55,0.41,-2.19,8.74,8.58
ICPUSDT,TripleEMA-MTF,W07,"EMA(9/21/55) ATR×1.5",17,17.65,-8.82,0.19,-3.04,8.82,4.89
ICPUSDT,TripleEMA-MTF,W08,"EMA(13/34/89) ATR×3.0",12,16.67,-10.51,0.02,-4.19,10.59,3.45
ICPUSDT,TripleEMA-MTF,W09,"EMA(9/34/55) ATR×2.5",20,30.00,-6.96,0.52,-1.29,7.05,12.64
ICPUSDT,TripleEMA-MTF,W10,"EMA(13/34/55) ATR×2.5",10,30.00,-3.22,0.48,-1.05,4.96,13.33
ICPUSDT,TripleEMA-MTF,W11,"EMA(13/34/89) ATR×2.0",7,0.00,-4.58,0.00,-5.88,4.58,0.00
ICPUSDT,TripleEMA-MTF,W12,"EMA(13/34/89) ATR×1.5",10,30.00,-1.71,0.77,-0.30,5.91,18.50
ICPUSDT,TripleEMA-MTF,W13,"EMA(13/21/89) ATR×3.0",11,27.27,7.58,1.49,0.48,11.69,33.10
ICPUSDT,Supertrend-MTF,W01,"ST(14,2.0) ATR×2.5",14,21.43,-11.80,0.35,-1.75,11.80,7.76
ICPUSDT,Supertrend-MTF,W02,"ST(14,2.0) ATR×2.5",32,43.75,-4.07,0.82,-0.45,8.96,20.95
ICPUSDT,Supertrend-MTF,W03,"ST(10,2.0) ATR×2.5",27,7.41,-22.89,0.07,-5.53,23.61,1.98
ICPUSDT,Supertrend-MTF,W04,"ST(7,3.0) ATR×2.5",11,18.18,-6.71,0.35,-1.52,7.09,8.09
ICPUSDT,Supertrend-MTF,W05,"ST(14,3.0) ATR×2.0",7,0.00,-5.58,0.00,-3.48,5.58,0.00
ICPUSDT,Supertrend-MTF,W06,"ST(14,2.5) ATR×2.5",18,22.22,-9.34,0.32,-2.28,9.34,6.66
ICPUSDT,Supertrend-MTF,W07,"ST(14,2.5) ATR×2.5",14,35.71,0.55,1.06,0.07,6.09,23.61
ICPUSDT,Supertrend-MTF,W08,"ST(14,2.5) ATR×2.5",14,21.43,-12.76,0.15,-3.00,12.76,5.37
ICPUSDT,Supertrend-MTF,W09,"ST(10,2.5) ATR×2.5",15,26.67,-9.18,0.36,-1.86,9.18,8.42
ICPUSDT,Supertrend-MTF,W10,"ST(10,2.5) ATR×2.5",11,18.18,-5.71,0.21,-2.16,5.71,5.11
ICPUSDT,Supertrend-MTF,W11,"ST(14,2.0) ATR×2.0",15,20.00,-6.24,0.30,-1.99,6.24,6.13
ICPUSDT,Supertrend-MTF,W12,"ST(7,2.5) ATR×2.5",15,20.00,-12.03,0.29,-2.17,12.79,6.05
ICPUSDT,Supertrend-MTF,W13,"ST(7,3.0) ATR×2.0",13,15.38,-26.72,0.09,-3.94,26.72,3.70
ICPUSDT,Donchian-MTF,W01,"Don(55) ATR×2.5",17,35.29,2.21,1.13,0.17,8.88,25.31
ICPUSDT,Donchian-MTF,W02,"Don(55) ATR×2.5",24,29.17,-6.71,0.61,-0.92,9.22,14.63
ICPUSDT,Donchian-MTF,W03,"Don(20) ATR×2.5",29,24.14,-21.92,0.19,-3.78,21.92,6.18
ICPUSDT,Donchian-MTF,W04,"Don(10) ATR×1.5",47,25.53,-17.56,0.48,-2.03,17.56,8.49
ICPUSDT,Donchian-MTF,W05,"Don(20) ATR×3.0",21,38.10,-0.23,0.99,-0.02,6.80,22.79
ICPUSDT,Donchian-MTF,W06,"Don(20) ATR×3.0",27,29.63,-25.66,0.22,-3.45,25.66,7.49
ICPUSDT,Donchian-MTF,W07,"Don(20) ATR×2.5",29,24.14,-14.51,0.45,-1.74,18.37,9.07
ICPUSDT,Donchian-MTF,W08,"Don(55) ATR×3.0",17,11.76,-23.28,0.10,-4.58,23.28,3.07
ICPUSDT,Donchian-MTF,W09,"Don(10) ATR×3.0",31,25.81,-12.42,0.55,-1.48,12.42,11.17
ICPUSDT,Donchian-MTF,W10,"Don(55) ATR×3.0",20,20.00,-14.48,0.26,-2.83,15.18,5.85
ICPUSDT,Donchian-MTF,W11,"Don(20) ATR×3.0",22,27.27,-3.58,0.79,-0.39,8.69,17.75
ICPUSDT,Donchian-MTF,W12,"Don(20) ATR×3.0",21,38.10,18.40,1.78,0.58,11.57,39.61
ICPUSDT,Donchian-MTF,W13,"Don(55) ATR×2.5",21,42.86,16.31,1.40,0.60,22.09,36.98
ICPUSDT,HullMA-Cross,W01,"Hull(16/34) ATR×2.0",62,27.42,-25.72,0.46,-2.46,25.72,8.70
ICPUSDT,HullMA-Cross,W02,"Hull(16/34) ATR×2.5",63,33.33,-10.65,0.70,-1.03,17.61,15.60
ICPUSDT,HullMA-Cross,W03,"Hull(21/34) ATR×2.5",62,35.48,-22.46,0.46,-2.66,23.71,10.29
ICPUSDT,HullMA-Cross,W04,"Hull(21/34) ATR×2.5",64,34.38,-27.61,0.42,-2.92,30.00,9.81
ICPUSDT,HullMA-Cross,W05,"Hull(21/34) ATR×2.5",54,44.44,-3.19,0.90,-0.28,13.67,22.37
ICPUSDT,HullMA-Cross,W06,"Hull(21/34) ATR×2.5",59,18.64,-42.66,0.16,-5.90,42.66,4.83
ICPUSDT,HullMA-Cross,W07,"Hull(16/34) ATR×2.5",71,30.99,-17.35,0.57,-1.81,19.76,10.99
ICPUSDT,HullMA-Cross,W08,"Hull(16/34) ATR×2.5",69,26.09,-37.74,0.35,-3.73,38.57,7.65
ICPUSDT,HullMA-Cross,W09,"Hull(16/55) ATR×2.5",51,27.45,-16.36,0.54,-1.80,22.84,10.10
ICPUSDT,HullMA-Cross,W10,"Hull(21/55) ATR×2.5",42,21.43,-17.90,0.32,-3.14,19.30,6.50
